"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 13 16:32:39 MSK 2025","Sun Apr 13 16:32:39 MSK 2025","194","tests","test_login","TestEmailRegistration","","","Позитивные проверки регистрации по email","Тест успешной регистрации по email"
"passed","Sun Apr 13 16:32:36 MSK 2025","Sun Apr 13 16:32:36 MSK 2025","214","tests","test_login","TestEmailRegistration","","","Позитивные проверки регистрации по email","Тест успешной регистрации по email"
"passed","Sun Apr 13 16:32:04 MSK 2025","Sun Apr 13 16:32:20 MSK 2025","16217","tests","test_login","TestLogin","","","Тест авторизации через Google","Тест авторизации через Google"
"failed","Sun Apr 13 16:33:00 MSK 2025","Sun Apr 13 16:33:05 MSK 2025","5021","tests","test_login","TestEmailRegistration","","","Негативные проверки валидации email","Тест валидации email"
"failed","Sun Apr 13 16:32:42 MSK 2025","Sun Apr 13 16:32:47 MSK 2025","5032","tests","test_login","TestEmailRegistration","","","Негативные проверки валидации email","Тест валидации email"
"failed","Sun Apr 13 16:32:50 MSK 2025","Sun Apr 13 16:32:55 MSK 2025","5014","tests","test_login","TestEmailRegistration","","","Негативные проверки валидации email","Тест валидации email"
"failed","Sun Apr 13 16:33:07 MSK 2025","Sun Apr 13 16:33:12 MSK 2025","5028","tests","test_login","TestEmailRegistration","","","Негативные проверки валидации email","Тест валидации email"
"passed","Sun Apr 13 16:32:22 MSK 2025","Sun Apr 13 16:32:32 MSK 2025","10015","tests","test_login","TestLogin","","","Тест неверного пароля","Тест неверного пароля"
