"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест успешной регистрации по email","163","Позитивные проверки регистрации по email","tests","Thu May 08 08:07:20 GMT 2025","passed","Thu May 08 08:07:20 GMT 2025","TestEmailRegistration","test_login","",""
"Тест авторизации через Google","35152","Тест авторизации через Google","tests","Thu May 08 08:06:42 GMT 2025","skipped","Thu May 08 08:07:17 GMT 2025","TestLogin","test_login","",""
"Тест успешной регистрации по email","84","Позитивные проверки регистрации по email","tests","Thu May 08 08:07:23 GMT 2025","passed","Thu May 08 08:07:23 GMT 2025","TestEmailRegistration","test_login","",""
